customer_id,company_name,industry,region,plan_type,signup_date,mrr_usd,seats,tenure_months,is_churned,churn_date,nps_score,acquisition_channel,support_tickets_ytd,last_login_days_ago,email_hashed,phone_hashed
CUST0001,PulseWare 68,Logistics,Middle East,Enterprise,2023-02-18,3386,398,16,False,,94,Organic,39,125,3e10f67fa51c02bc2b6b3d299301ff2fa223beca6ceb8d378d3c096aa63fce52,44a4022f0ca25915554f569c25a0a45ce23d771d679b437a57b9e46657db1d82
CUST0002,CloudPeak 73,Retail,North America,Starter,2023-03-08,99,2,16,False,,-46,Social Media,33,173,ef5a7e172e13e2b352870f950a00a4977414938231949f722d9d2a0c28c4f9bf,9ef9d5299526548ac8cda116ad8dedaf70bce4e8fc2c77b6f8dc79e960e59b92
CUST0003,NovaTech 60,Education,Europe,Growth,2023-04-26,320,16,14,False,,8,Direct Sales,29,13,e91c8e235d581dfa1aa9ad8091dfa9e162ef678c4c4e75dffb0209a58fbd30ed,2bd8438aab0bc527ede861ede424e0962b17de96262f9568b97cda7361af8494
CUST0004,CloudPeak 5,Finance,North America,Starter,2022-05-13,94,2,25,False,,52,Paid Search,30,175,ebf4c117d36196bc2d789bb69dea6f004251e3310c183ac0cf32cb7296a0e900,a0a7110bac67e85084551714e7460d6a7c6356dc27f7721d72e0b16b90d14490
CUST0005,GridLogic 52,Healthcare,North America,Enterprise,2022-03-25,2670,94,27,False,,-99,Social Media,13,113,254a8b99a57c96a88683069e0fa71e6da12ba87ea151f700b118437892221085,2106ca2016705e2d42628c54a1dcfa75194d8231ccbd4df57fbeddb3c3808de5
CUST0006,QuantumEdge 96,Healthcare,Middle East,Enterprise,2023-07-13,4398,403,11,False,,21,Partner,7,24,4577568eaf00d70430ab245aceffdd0083784eb190e7aa853f7426350bf7dd53,9dbb7b884c2b4d5a5c52ca7db4f404b81d3dac5a593c17d220c5c12ce8df2b6e
CUST0007,CipherStack 30,Media,Asia Pacific,Growth,2022-05-28,389,15,25,False,,-47,Organic,23,47,7ea51c8d7fb17f98f9fa772e79e54ce41024df0454665ddddba4b605791f3e8d,8d51fd4ebccc356ff8502d9c123ce52180ec8e4855324bb2988b648ab888f4fa
CUST0008,PulseWare 50,Manufacturing,Asia Pacific,Growth,2023-05-29,598,15,13,False,,-4,Direct Sales,5,46,a9c369dd13419af9eb2b03b2d7168c0d7c8ec2a0afd64cd38d459be1841cf1f7,a5eb4d07b2bdd623adb3c86190ef10576be9af57ca60643b1993925fde6d8213
CUST0009,DataSphere 14,Media,Asia Pacific,Enterprise,2023-01-17,3385,393,17,False,,67,Paid Search,15,98,9e178e5146f12b8f44448efd484e462d428e632cec1a043996560fb939b09e34,396fbe0caf0f3da5ccef9f73281d4a2a5bc2d1c0c5ce642011783b12a9bd02b1
CUST0010,CloudPeak 33,Manufacturing,Asia Pacific,Free,2023-03-25,0,1,15,True,2024-03-19,75,Partner,39,,d9da4558e56edf468c2aa2df7f1af89f01225dfeeab99c0668e77c34652a1566,2928536893daa0420046f13648a2c1611137b4e3ca3191bfcccf1b053c14ad96
CUST0011,NexGen AI 89,Retail,Europe,Enterprise,2022-10-17,3093,366,20,False,,-50,Social Media,10,163,3a3dcf85ac281cfc243dac3f34bf47a1e5daec5cf5f64daf40e9618eb0e0dbd9,06c52360a69a30c877ef13f2ee129600b25744f540fe972091a8194df6548a3d
CUST0012,GridLogic 69,Healthcare,North America,Enterprise,2023-11-04,4844,82,7,False,,-12,Direct Sales,19,172,41a051bc70d20e4cf7af344f1d1cf2c8cc48b8b041152179b0bdb81f188bf62f,441654749e0ef1d0a6173427e8a14449b72c4b22fbe315ddf72e4c5fc7463ea3
CUST0013,QuantumEdge 99,Logistics,Middle East,Enterprise,2023-06-08,7632,296,12,False,,6,Referral,12,5,76033557fcff5412ea95b5ac9dbcc08e2b98237f4847f59980853f7b389c25f1,9cd476f531d236e00024b2e02634ed7a73a42ba964fb444da0d8542b89684540
CUST0014,QuantumEdge 74,Retail,Europe,Free,2022-11-11,0,1,19,False,,-6,Organic,25,102,0ed4bc2ec5ac1b583c4f7c664f1109d8043c23661a1ce31eb77e05c9b950b2a2,6995a0dd3a9fa7be3b2f704f022bfdf519d25d12b3c23e90f0d422ffe2840d91
CUST0015,CloudPeak 47,Retail,Europe,Enterprise,2022-09-29,2570,312,21,False,,77,Referral,29,146,3c2029e740c582da2c4b6bcd93828397184fbc0c7454f9fae41208b3d53d2c5d,336cd735a51b9fdb5b7c5df0391a91cc6ba4ba23dae390688a4b3af8baea76f9
CUST0016,GridLogic 2,Finance,Asia Pacific,Enterprise,2022-07-08,6947,260,24,False,,-81,Partner,4,85,0cdaa7785d989ed865833eea53dc30ed0fb46379ebd841df5dca9f9a73dda168,130fcfa59b99ef12204d20f28b79233004d8a8bb35e32a285f4c7d6ec86f6248
CUST0017,Apex Systems 51,Finance,North America,Growth,2023-08-07,305,9,10,False,,-34,Referral,32,58,d186e1919c42777863f23cc584bbeecae7f440a291dddc995025f61a99648606,64fccc4c9fab5aaeb1ee601bfc678acb89880e12b154c92c1f3b2d1a30ea7fec
CUST0018,DataSphere 85,Retail,North America,Enterprise,2022-06-12,3380,164,24,False,,-71,Direct Sales,12,143,d66e0c6bb8c6f3696c60891242d64c539ebb03ed9671e91c1385d1ecb86a6def,d6493946e3e2b30799d6e22fe97912cf6f91e740618e90d2ee26fa267cfab3c4
CUST0019,GridLogic 12,Finance,Middle East,Growth,2023-12-20,572,9,6,False,,-71,Social Media,24,42,0dc28ab168f11dfdbec05336aa62c325e76544b181578c9a9b5296c92820ac37,84067d60c7af9817185608fe9994ec3418403e5cbfca9e13f93d3a13613f32d9
CUST0020,NovaTech 19,Manufacturing,Middle East,Starter,2022-08-26,70,2,22,False,,11,Social Media,0,59,724c3403ac6430f4e202eaf0e94617dfbd7dff32ffc0ef495c50dbbfcf8eb34d,32f461ff6a2245785c8de3a1308aa72ed1382ca2bdcfd43e51c91e20fd464e65
CUST0021,CloudPeak 57,Retail,Asia Pacific,Free,2023-11-30,0,1,7,False,,54,Referral,37,11,38c95446bf45081f87c79168d1366d22eb2d1327154563a0f455c0647dbed5fe,42615212aede22d6837764e854d2662db70ab6a7cd7d6ac6f4c8a47c8f0bca55
CUST0022,CipherStack 55,Media,North America,Growth,2022-01-21,366,14,29,False,,42,Organic,22,41,1d6379ade47d400ae99170ef5687eb829a2ca4d1f80b6e8833568a87602d4017,820abfe2f413bf9fa9808315764522780410b4d87d6b91ccdf43d38a7718709b
CUST0023,DataSphere 95,Manufacturing,Latin America,Growth,2022-12-09,491,5,18,False,,40,Direct Sales,14,44,a798780f2235b212081446e39c5b4e49ba34f75e0fd646d3d9d54371558a93f3,eed327d9ace312c1e44f7e04d17ea9e32c312fbaaf604dd7240a706b4cd3b48e
CUST0024,Apex Systems 26,Healthcare,Europe,Free,2023-02-21,0,1,16,True,2024-11-22,-76,Social Media,19,,4c658f469a38497cbe5b2feb9dc4de7c316f023af0e70e05368e6c5580fc8c2c,f8800175af5caf3670aa35957d8559ddc20ecf85cd19b52ec177e26bd0ad45a6
CUST0025,CloudPeak 76,Healthcare,Asia Pacific,Starter,2022-09-18,86,4,21,True,2022-12-23,28,Partner,8,,a883a190f73a1a6e9e08838425fde9a6476fa2f9b8cf2d2a65038bbad737a963,4ddecc89fc224ecfc1e2ccbe65e0eaba590427f3b11a9d73165bfd04e332cb39
